	id	text	created_at	label
0	255819937665409024	RT @Zaviyayy: Kiss her right in the middle of a sentence. Girls love that.	Wed Oct 10 00:00:00 +0000 2012	
1	255819937870921730	congrats tw on an AMA nomination #loveyou #congrats #TWFanmiIy	Wed Oct 10 00:00:00 +0000 2012	
2	255819933596930048	Lmao wait, did you think it was something other than what it really is??? http://t.co/Au7zIVT1	Wed Oct 10 00:00:00 +0000 2012	
3	255819941884862464	RT @overlyxclusive: and part of growing up is realizing that everybody does not grow up with you. some are slow to mature.	Wed Oct 10 00:00:01 +0000 2012	
4	255819941675163648	Photo: foreverisalwayss: bergdorfprincess: Just got a manipedi. Hooray for neon mint :) Ur nails r fab omg... http://t.co/7Fs4bqpY	Wed Oct 10 00:00:01 +0000 2012	
5	255819937732505600	It's 7th inning stretch time and we're all square at 1s. They're fired up in Cincy and we are too! #NLDS #Reds #Giants https://t.co/caEwbX01	Wed Oct 10 00:00:00 +0000 2012	
6	255819941763219456	Macro Photograph of Broccoli http://t.co/p3kjUA3h	Wed Oct 10 00:00:01 +0000 2012	
7	255819937753481216	Have you ever had to work with someone who's personality clashed with yours? How did you handle it?http://t.co/DLSIa97n	Wed Oct 10 00:00:00 +0000 2012	
8	255819941771624448	RT @stillblazingtho: Never pass someone a cashed bowl.	Wed Oct 10 00:00:01 +0000 2012	
9	255819941792587776	Diced pineapples,	Wed Oct 10 00:00:01 +0000 2012	
10	255819937698951168	FF# ERSS  Medical bills got you down? we can help! call us 2day @ 8775735520 ask of Kim! visit our site http://t.co/7M9PZFon	Wed Oct 10 00:00:00 +0000 2012	
11	255819937845743616	You pull burners we pull burners make the motherfucking beef cook.	Wed Oct 10 00:00:00 +0000 2012	
12	255819937879306240	Rick Ross x diced pineapples	Wed Oct 10 00:00:00 +0000 2012	
13	255819937799626754	"Use my ref code: iag66597 &amp;
 tweet for cards! Oct 09 11:59:51 PM #rageofbahamut @rageofbahamut"	Wed Oct 10 00:00:00 +0000 2012	
14	255819937661194240	A recording has stopped: Wheel of Fortune: Home Sweet Home #SageAlert	Wed Oct 10 00:00:00 +0000 2012	
15	255819941847126016	Wonder what @Big_Dane_720 s thoughts are that more NHL players think weed should be legalized than NBA players	Wed Oct 10 00:00:01 +0000 2012	
16	255819941691936771	Why is Kyle Sandilands' weight in the media at the moment? Aren't there more pressing, less autonomy-shaming things to report?	Wed Oct 10 00:00:01 +0000 2012	
17	255819941834530817	Man i hate typos	Wed Oct 10 00:00:01 +0000 2012	
18	255819937661194242	If you're not gonna suck my dick don't stand so close to me	Wed Oct 10 00:00:00 +0000 2012	
19	255819941868093440	Anyone want to take me to the Spanish heritage concert on Sunday? I really need to go!!!!	Wed Oct 10 00:00:01 +0000 2012	
20	255819937858330624	The devils here, but I'm still awake, then I broke the mirror, cuz I seen his face.	Wed Oct 10 00:00:00 +0000 2012	
21	255819937761853441	RT @Donjeta_x93: Lol yea right... #singletothemax	Wed Oct 10 00:00:00 +0000 2012	
22	255819937686372352	Nothing last forever.... So live it up, drink it down and laugh it off !	Wed Oct 10 00:00:00 +0000 2012	
23	255819937891885056	“@talsbenish: K as in knife.” Lawlzzz RT	Wed Oct 10 00:00:00 +0000 2012	
24	255819937485058048	Invite this kids to church on Wednesdays!	Wed Oct 10 00:00:00 +0000 2012	
25	255819937636036609	If you work in an Engine Room, protect and communicate with Sensear: http://t.co/5cwhCObp	Wed Oct 10 00:00:00 +0000 2012	
26	255819937761878016	Make Money With Your Digital Camera - Home-based Photography Business! http://t.co/Ol03RHgv	Wed Oct 10 00:00:00 +0000 2012	
27	255819937879298049	"The sweetest and most ear disturbing phrase all rolled into one is... "" See that, Mommy? See that?"" 4000 times in a course of 45 mins"	Wed Oct 10 00:00:00 +0000 2012	
28	255819937791229952	Hugo Pinheiro in one of Dubai's famous wave pools.  See the video here: http://t.co/TFfQw013 http://t.co/Kb6nFy1U	Wed Oct 10 00:00:00 +0000 2012	
29	255819941679349761	My cousin named her baby Jacarlos =\	Wed Oct 10 00:00:01 +0000 2012	
30	255819937803800576	wen i have nobody to talk to i mess with my aunt	Wed Oct 10 00:00:00 +0000 2012	
31	255819937870913537	Poor vocabulary is enough to make a gorgeous girl ugly.	Wed Oct 10 00:00:00 +0000 2012	
32	255819937782841345	My mom always showing her ass somewhere !	Wed Oct 10 00:00:00 +0000 2012	
33	255819941884854272	I posted a new photo to Facebook http://t.co/XR4sRTgV	Wed Oct 10 00:00:01 +0000 2012	
34	255819937665396737	I'm gonna be so bored when field hockey's over	Wed Oct 10 00:00:00 +0000 2012	
35	255819937749282816	Wind 0.5 mph SSW. Barometer 29.89 in, Falling slowly. Temperature 61.3 °F. Rain today 0.00 in. Humidity 54%	Wed Oct 10 00:00:00 +0000 2012	
36	255819941725491201	RT @RacquelBethea: God keeps blessing me. Never forget to thank him.	Wed Oct 10 00:00:01 +0000 2012	
37	255819941880688640	Can't believe anything they say anymore.	Wed Oct 10 00:00:01 +0000 2012	
38	255819937602473984	I know what I'm setting up for.	Wed Oct 10 00:00:00 +0000 2012	
39	255819941826134016	What you want isn't a martini. What you really want is straight vodka. #shitbretsays #hrtechconf	Wed Oct 10 00:00:01 +0000 2012	
40	255819941696139264	4 users followed me and 2 users unfollowed me today checked via http://t.co/8DsiuvQp [autotweet]	Wed Oct 10 00:00:01 +0000 2012	
41	255819937724125184	I just need a boyfriend that loves beer as much as I do.	Wed Oct 10 00:00:00 +0000 2012	
42	255819941788405760	Have you heard about the Holiday Inn Express &amp; Suites, Marathon Key Meet the Dolphins and Sea Turtle Hotel... http://t.co/hMxcPYMG	Wed Oct 10 00:00:01 +0000 2012	
43	255819941771612161	Is Apple's stock price overvalued? Debate at http://t.co/3p2GLsVz #Apple	Wed Oct 10 00:00:01 +0000 2012	
44	255819937493430272	Just posted a photo http://t.co/zQlsEuw9	Wed Oct 10 00:00:00 +0000 2012	
45	255819937526996992	i need to get as high as possible, as often as possible, this week cuz next week i have to go to practice everyday till march :(	Wed Oct 10 00:00:00 +0000 2012	
46	255819941733859328	Dreading to do this math homework	Wed Oct 10 00:00:01 +0000 2012	
47	255819941872279552	Ill just get them tmrw ! :b	Wed Oct 10 00:00:01 +0000 2012	
